County,FileNumber,Measure Names,ProviderName,Measure Values
BAKER,100134,Total Staffed Bed Capacity,ED FRASER MEMORIAL HOSPITAL,14
BAKER,104007,Bed Census,NORTHEAST FLORIDA STATE HOSPITAL,483
BAKER,104007,Available,NORTHEAST FLORIDA STATE HOSPITAL,130
BAKER,104007,Available Capacity,NORTHEAST FLORIDA STATE HOSPITAL,0.212071778
BAKER,104007,Total Staffed Bed Capacity,NORTHEAST FLORIDA STATE HOSPITAL,613
BAY,100026,Bed Census,ASCENSION SACRED HEART BAY,111
BAY,100026,Available,ASCENSION SACRED HEART BAY,25
BAY,100026,Available Capacity,ASCENSION SACRED HEART BAY,0.183823529
BAY,100026,Total Staffed Bed Capacity,ASCENSION SACRED HEART BAY,136
BAY,100242,Bed Census,GULF COAST REGIONAL MEDICAL CENTER,219
BAY,100242,Available,GULF COAST REGIONAL MEDICAL CENTER,29
BAY,100242,Available Capacity,GULF COAST REGIONAL MEDICAL CENTER,0.116935484
BAY,100242,Total Staffed Bed Capacity,GULF COAST REGIONAL MEDICAL CENTER,248
BAY,110034,Bed Census,EMERALD COAST BEHAVIORAL HOSPITAL,68
BAY,110034,Available,EMERALD COAST BEHAVIORAL HOSPITAL,18
BAY,110034,Available Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,0.209302326
BAY,110034,Total Staffed Bed Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,86
BAY,23960013,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,48
BAY,23960013,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0
BAY,23960013,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0
BAY,23960013,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,48
BAY,23960045,Bed Census,SELECT SPECIALTY HOSPITAL - PANAMA CITY,19
BAY,23960045,Available,SELECT SPECIALTY HOSPITAL - PANAMA CITY,11
BAY,23960045,Available Capacity,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0.366666667
BAY,23960045,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL - PANAMA CITY,30
BRADFORD,100103,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5
BRADFORD,100103,Available,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5
BRADFORD,100103,Available Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,0.5
BRADFORD,100103,Total Staffed Bed Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,10
BREVARD,100019,Bed Census,HOLMES REGIONAL MEDICAL CENTER,424
BREVARD,100019,Available,HOLMES REGIONAL MEDICAL CENTER,84
BREVARD,100019,Available Capacity,HOLMES REGIONAL MEDICAL CENTER,0.165354331
BREVARD,100019,Total Staffed Bed Capacity,HOLMES REGIONAL MEDICAL CENTER,508
BREVARD,100028,Bed Census,PARRISH MEDICAL CENTER,88
BREVARD,100028,Available,PARRISH MEDICAL CENTER,91
BREVARD,100028,Available Capacity,PARRISH MEDICAL CENTER,0.508379888
BREVARD,100028,Total Staffed Bed Capacity,PARRISH MEDICAL CENTER,179
BREVARD,100092,Bed Census,ROCKLEDGE REGIONAL MEDICAL CENTER,125
BREVARD,100092,Available,ROCKLEDGE REGIONAL MEDICAL CENTER,66
BREVARD,100092,Available Capacity,ROCKLEDGE REGIONAL MEDICAL CENTER,0.345549738
BREVARD,100092,Total Staffed Bed Capacity,ROCKLEDGE REGIONAL MEDICAL CENTER,191
BREVARD,100177,Bed Census,CAPE CANAVERAL HOSPITAL,112
BREVARD,100177,Available,CAPE CANAVERAL HOSPITAL,28
BREVARD,100177,Available Capacity,CAPE CANAVERAL HOSPITAL,0.2
BREVARD,100177,Total Staffed Bed Capacity,CAPE CANAVERAL HOSPITAL,140
BREVARD,104024,Bed Census,"CIRCLES OF CARE, INC",32
BREVARD,104024,Available,"CIRCLES OF CARE, INC",20
BREVARD,104024,Available Capacity,"CIRCLES OF CARE, INC",0.384615385
BREVARD,104024,Total Staffed Bed Capacity,"CIRCLES OF CARE, INC",52
BREVARD,110027,Bed Census,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,56
BREVARD,110027,Available,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,4
BREVARD,110027,Available Capacity,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,0.066666667
BREVARD,110027,Total Staffed Bed Capacity,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,60
BREVARD,110036,Bed Census,DEVEREUX FLORIDA,100
BREVARD,110036,Available,DEVEREUX FLORIDA,0
BREVARD,110036,Available Capacity,DEVEREUX FLORIDA,0
BREVARD,110036,Total Staffed Bed Capacity,DEVEREUX FLORIDA,100
BREVARD,120007,Bed Census,PALM BAY HOSPITAL,109
BREVARD,120007,Available,PALM BAY HOSPITAL,6
BREVARD,120007,Available Capacity,PALM BAY HOSPITAL,0.052173913
BREVARD,120007,Total Staffed Bed Capacity,PALM BAY HOSPITAL,115
BREVARD,23960034,Bed Census,MELBOURNE REGIONAL MEDICAL CENTER,49
BREVARD,23960034,Available,MELBOURNE REGIONAL MEDICAL CENTER,56
BREVARD,23960034,Available Capacity,MELBOURNE REGIONAL MEDICAL CENTER,0.533333333
BREVARD,23960034,Total Staffed Bed Capacity,MELBOURNE REGIONAL MEDICAL CENTER,105
BREVARD,23960090,Bed Census,KINDRED HOSPITAL MELBOURNE,39
BREVARD,23960090,Available,KINDRED HOSPITAL MELBOURNE,21
BREVARD,23960090,Available Capacity,KINDRED HOSPITAL MELBOURNE,0.35
BREVARD,23960090,Total Staffed Bed Capacity,KINDRED HOSPITAL MELBOURNE,60
BREVARD,23960092,Bed Census,VIERA HOSPITAL,72
BREVARD,23960092,Available,VIERA HOSPITAL,11
BREVARD,23960092,Available Capacity,VIERA HOSPITAL,0.132530120
BREVARD,23960092,Total Staffed Bed Capacity,VIERA HOSPITAL,83
BREVARD,23960153,Bed Census,PALM POINT BEHAVIORAL HEALTH,30
BREVARD,23960153,Available,PALM POINT BEHAVIORAL HEALTH,14
BREVARD,23960153,Available Capacity,PALM POINT BEHAVIORAL HEALTH,0.318181818
BREVARD,23960153,Total Staffed Bed Capacity,PALM POINT BEHAVIORAL HEALTH,44
BROWARD,100038,Bed Census,MEMORIAL REGIONAL HOSPITAL,659
BROWARD,100038,Available,MEMORIAL REGIONAL HOSPITAL,175
BROWARD,100038,Available Capacity,MEMORIAL REGIONAL HOSPITAL,0.209832134
BROWARD,100038,Total Staffed Bed Capacity,MEMORIAL REGIONAL HOSPITAL,834
BROWARD,100039,Bed Census,BROWARD HEALTH MEDICAL CENTER,363
BROWARD,100039,Available,BROWARD HEALTH MEDICAL CENTER,25
BROWARD,100039,Available Capacity,BROWARD HEALTH MEDICAL CENTER,0.064432990
BROWARD,100039,Total Staffed Bed Capacity,BROWARD HEALTH MEDICAL CENTER,388
BROWARD,100042,Bed Census,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,73
BROWARD,100042,Available,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,46
BROWARD,100042,Available Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,0.386554622
BROWARD,100042,Total Staffed Bed Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,119
BROWARD,100056,Bed Census,CLEVELAND CLINIC HOSPITAL,213
BROWARD,100056,Available,CLEVELAND CLINIC HOSPITAL,17
BROWARD,100056,Available Capacity,CLEVELAND CLINIC HOSPITAL,0.073913043
BROWARD,100056,Total Staffed Bed Capacity,CLEVELAND CLINIC HOSPITAL,230
BROWARD,100073,Bed Census,HOLY CROSS HOSPITAL,240
BROWARD,100073,Available,HOLY CROSS HOSPITAL,108
BROWARD,100073,Available Capacity,HOLY CROSS HOSPITAL,0.310344828
BROWARD,100073,Total Staffed Bed Capacity,HOLY CROSS HOSPITAL,348
BROWARD,100086,Bed Census,BROWARD HEALTH NORTH,209
BROWARD,100086,Available,BROWARD HEALTH NORTH,11
BROWARD,100086,Available Capacity,BROWARD HEALTH NORTH,0.05
BROWARD,100086,Total Staffed Bed Capacity,BROWARD HEALTH NORTH,220
BROWARD,100120,Bed Census,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,35
BROWARD,100120,Available,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,29
BROWARD,100120,Available Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,0.453125
BROWARD,100120,Total Staffed Bed Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,64
BROWARD,100167,Bed Census,PLANTATION GENERAL HOSPITAL,113
BROWARD,100167,Available,PLANTATION GENERAL HOSPITAL,151
BROWARD,100167,Available Capacity,PLANTATION GENERAL HOSPITAL,0.571969697
BROWARD,100167,Total Staffed Bed Capacity,PLANTATION GENERAL HOSPITAL,264
BROWARD,100189,Bed Census,NORTHWEST MEDICAL CENTER,215
BROWARD,100189,Available,NORTHWEST MEDICAL CENTER,76
BROWARD,100189,Available Capacity,NORTHWEST MEDICAL CENTER,0.261168385
BROWARD,100189,Total Staffed Bed Capacity,NORTHWEST MEDICAL CENTER,291
BROWARD,100200,Bed Census,BROWARD HEALTH IMPERIAL POINT,120
BROWARD,100200,Available,BROWARD HEALTH IMPERIAL POINT,0
BROWARD,100200,Available Capacity,BROWARD HEALTH IMPERIAL POINT,0
BROWARD,100200,Total Staffed Bed Capacity,BROWARD HEALTH IMPERIAL POINT,120
BROWARD,100210,Bed Census,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,173
BROWARD,100210,Available,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,16
BROWARD,100210,Available Capacity,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,0.084656085
BROWARD,100210,Total Staffed Bed Capacity,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,189
BROWARD,100224,Bed Census,UNIVERSITY HOSPITAL AND MEDICAL CENTER,179
BROWARD,100224,Available,UNIVERSITY HOSPITAL AND MEDICAL CENTER,138
BROWARD,100224,Available Capacity,UNIVERSITY HOSPITAL AND MEDICAL CENTER,0.435331230
BROWARD,100224,Total Staffed Bed Capacity,UNIVERSITY HOSPITAL AND MEDICAL CENTER,317
BROWARD,100225,Bed Census,MEMORIAL REGIONAL HOSPITAL SOUTH,102
BROWARD,100225,Available,MEMORIAL REGIONAL HOSPITAL SOUTH,17
BROWARD,100225,Available Capacity,MEMORIAL REGIONAL HOSPITAL SOUTH,0.142857143
BROWARD,100225,Total Staffed Bed Capacity,MEMORIAL REGIONAL HOSPITAL SOUTH,119
BROWARD,100228,Bed Census,WESTSIDE REGIONAL MEDICAL CENTER,206
BROWARD,100228,Available,WESTSIDE REGIONAL MEDICAL CENTER,44
BROWARD,100228,Available Capacity,WESTSIDE REGIONAL MEDICAL CENTER,0.176
BROWARD,100228,Total Staffed Bed Capacity,WESTSIDE REGIONAL MEDICAL CENTER,250
BROWARD,100230,Bed Census,MEMORIAL HOSPITAL PEMBROKE,139
BROWARD,100230,Available,MEMORIAL HOSPITAL PEMBROKE,8
BROWARD,100230,Available Capacity,MEMORIAL HOSPITAL PEMBROKE,0.054421769
BROWARD,100230,Total Staffed Bed Capacity,MEMORIAL HOSPITAL PEMBROKE,147
BROWARD,103027,Bed Census,ST ANTHONY'S REHABILITATION HOSPITAL,12
BROWARD,103027,Available,ST ANTHONY'S REHABILITATION HOSPITAL,14
BROWARD,103027,Available Capacity,ST ANTHONY'S REHABILITATION HOSPITAL,0.538461538
BROWARD,103027,Total Staffed Bed Capacity,ST ANTHONY'S REHABILITATION HOSPITAL,26
BROWARD,103028,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,88
BROWARD,103028,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,22
BROWARD,103028,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,0.2
BROWARD,103028,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,110
BROWARD,104001,Bed Census,SOUTH FLORIDA STATE HOSPITAL,295
BROWARD,104001,Available,SOUTH FLORIDA STATE HOSPITAL,0
BROWARD,104001,Available Capacity,SOUTH FLORIDA STATE HOSPITAL,0
BROWARD,104001,Total Staffed Bed Capacity,SOUTH FLORIDA STATE HOSPITAL,295
BROWARD,104015,Bed Census,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,33
BROWARD,104015,Available,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,17
BROWARD,104015,Available Capacity,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,0.34
BROWARD,104015,Total Staffed Bed Capacity,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,50
BROWARD,104026,Bed Census,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,92
BROWARD,104026,Available,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,5
BROWARD,104026,Available Capacity,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0.051546392
BROWARD,104026,Total Staffed Bed Capacity,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,97
BROWARD,110019,Bed Census,BROWARD HEALTH CORAL SPRINGS,138
BROWARD,110019,Available,BROWARD HEALTH CORAL SPRINGS,16
BROWARD,110019,Available Capacity,BROWARD HEALTH CORAL SPRINGS,0.103896104
BROWARD,110019,Total Staffed Bed Capacity,BROWARD HEALTH CORAL SPRINGS,154
BROWARD,111527,Bed Census,MEMORIAL HOSPITAL WEST,321
BROWARD,111527,Available,MEMORIAL HOSPITAL WEST,34
BROWARD,111527,Available Capacity,MEMORIAL HOSPITAL WEST,0.095774648
BROWARD,111527,Total Staffed Bed Capacity,MEMORIAL HOSPITAL WEST,355
BROWARD,23960050,Bed Census,MEMORIAL HOSPITAL MIRAMAR,137
BROWARD,23960050,Available,MEMORIAL HOSPITAL MIRAMAR,41
BROWARD,23960050,Available Capacity,MEMORIAL HOSPITAL MIRAMAR,0.230337079
BROWARD,23960050,Total Staffed Bed Capacity,MEMORIAL HOSPITAL MIRAMAR,178
CALHOUN,100112,Bed Census,CALHOUN-LIBERTY HOSPITAL,7
CALHOUN,100112,Available,CALHOUN-LIBERTY HOSPITAL,3
CALHOUN,100112,Available Capacity,CALHOUN-LIBERTY HOSPITAL,0.3
CALHOUN,100112,Total Staffed Bed Capacity,CALHOUN-LIBERTY HOSPITAL,10
CHARLOTTE,100047,Bed Census,BAYFRONT HEALTH PUNTA GORDA,90
CHARLOTTE,100047,Available,BAYFRONT HEALTH PUNTA GORDA,41
CHARLOTTE,100047,Available Capacity,BAYFRONT HEALTH PUNTA GORDA,0.312977099
CHARLOTTE,100047,Total Staffed Bed Capacity,BAYFRONT HEALTH PUNTA GORDA,131
CHARLOTTE,100077,Bed Census,BAYFRONT HEALTH PORT CHARLOTTE,166
CHARLOTTE,100077,Available,BAYFRONT HEALTH PORT CHARLOTTE,69
CHARLOTTE,100077,Available Capacity,BAYFRONT HEALTH PORT CHARLOTTE,0.293617021
CHARLOTTE,100077,Total Staffed Bed Capacity,BAYFRONT HEALTH PORT CHARLOTTE,235
CHARLOTTE,100236,Bed Census,FAWCETT MEMORIAL HOSPITAL,168
CHARLOTTE,100236,Available,FAWCETT MEMORIAL HOSPITAL,85
CHARLOTTE,100236,Available Capacity,FAWCETT MEMORIAL HOSPITAL,0.335968379
CHARLOTTE,100236,Total Staffed Bed Capacity,FAWCETT MEMORIAL HOSPITAL,253
CITRUS,100023,Bed Census,CITRUS MEMORIAL HOSPITAL,139
CITRUS,100023,Available,CITRUS MEMORIAL HOSPITAL,74
CITRUS,100023,Available Capacity,CITRUS MEMORIAL HOSPITAL,0.347417840
CITRUS,100023,Total Staffed Bed Capacity,CITRUS MEMORIAL HOSPITAL,213
CITRUS,100249,Bed Census,BAYFRONT HEALTH SEVEN RIVERS,90
CITRUS,100249,Available,BAYFRONT HEALTH SEVEN RIVERS,15
CITRUS,100249,Available Capacity,BAYFRONT HEALTH SEVEN RIVERS,0.142857143
CITRUS,100249,Total Staffed Bed Capacity,BAYFRONT HEALTH SEVEN RIVERS,105
CLAY,100016,Bed Census,KINDRED HOSPITAL-NORTH FLORIDA,44
CLAY,100016,Available,KINDRED HOSPITAL-NORTH FLORIDA,29
CLAY,100016,Available Capacity,KINDRED HOSPITAL-NORTH FLORIDA,0.397260274
CLAY,100016,Total Staffed Bed Capacity,KINDRED HOSPITAL-NORTH FLORIDA,73
CLAY,100226,Bed Census,ORANGE PARK MEDICAL CENTER,325
CLAY,100226,Available,ORANGE PARK MEDICAL CENTER,30
CLAY,100226,Available Capacity,ORANGE PARK MEDICAL CENTER,0.084507042
CLAY,100226,Total Staffed Bed Capacity,ORANGE PARK MEDICAL CENTER,355
CLAY,23960117,Bed Census,ASCENSION ST VINCENT'S CLAY COUNTY,101
CLAY,23960117,Available,ASCENSION ST VINCENT'S CLAY COUNTY,33
CLAY,23960117,Available Capacity,ASCENSION ST VINCENT'S CLAY COUNTY,0.246268657
CLAY,23960117,Total Staffed Bed Capacity,ASCENSION ST VINCENT'S CLAY COUNTY,134
COLLIER,100018,Bed Census,NAPLES COMMUNITY HOSPITAL,228
COLLIER,100018,Available,NAPLES COMMUNITY HOSPITAL,29
COLLIER,100018,Available Capacity,NAPLES COMMUNITY HOSPITAL,0.112840467
COLLIER,100018,Total Staffed Bed Capacity,NAPLES COMMUNITY HOSPITAL,257
COLLIER,110043,Bed Census,"WILLOUGH AT NAPLES, THE",73
COLLIER,110043,Available,"WILLOUGH AT NAPLES, THE",14
COLLIER,110043,Available Capacity,"WILLOUGH AT NAPLES, THE",0.160919540
COLLIER,110043,Total Staffed Bed Capacity,"WILLOUGH AT NAPLES, THE",87
COLLIER,120006,Bed Census,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,212
COLLIER,120006,Available,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,44
COLLIER,120006,Available Capacity,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,0.171875
COLLIER,120006,Total Staffed Bed Capacity,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,256
COLLIER,23960025,Bed Census,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,103
COLLIER,23960025,Available,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,8
COLLIER,23960025,Available Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,0.072072072
COLLIER,23960025,Total Staffed Bed Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,111
COLLIER,23960057,Bed Census,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,69
COLLIER,23960057,Available,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,31
COLLIER,23960057,Available Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,0.31
COLLIER,23960057,Total Staffed Bed Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,100
COLLIER,23960116,Bed Census,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,29
COLLIER,23960116,Available,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,21
COLLIER,23960116,Available Capacity,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,0.42
COLLIER,23960116,Total Staffed Bed Capacity,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,50
COLUMBIA,100156,Bed Census,LAKE CITY MEDICAL CENTER,103
COLUMBIA,100156,Available,LAKE CITY MEDICAL CENTER,0
COLUMBIA,100156,Available Capacity,LAKE CITY MEDICAL CENTER,0
COLUMBIA,100156,Total Staffed Bed Capacity,LAKE CITY MEDICAL CENTER,103
DESOTO,100175,Bed Census,DESOTO MEMORIAL HOSPITAL,19
DESOTO,100175,Available,DESOTO MEMORIAL HOSPITAL,36
DESOTO,100175,Available Capacity,DESOTO MEMORIAL HOSPITAL,0.654545455
DESOTO,100175,Total Staffed Bed Capacity,DESOTO MEMORIAL HOSPITAL,55
DUVAL,100001,Bed Census,UF HEALTH JACKSONVILLE,496
DUVAL,100001,Available,UF HEALTH JACKSONVILLE,107
DUVAL,100001,Available Capacity,UF HEALTH JACKSONVILLE,0.177446103
DUVAL,100001,Total Staffed Bed Capacity,UF HEALTH JACKSONVILLE,603
DUVAL,100040,Bed Census,ASCENSION ST VINCENT'S RIVERSIDE,325
DUVAL,100040,Available,ASCENSION ST VINCENT'S RIVERSIDE,187
DUVAL,100040,Available Capacity,ASCENSION ST VINCENT'S RIVERSIDE,0.365234375
DUVAL,100040,Total Staffed Bed Capacity,ASCENSION ST VINCENT'S RIVERSIDE,512
DUVAL,100088,Bed Census,BAPTIST MEDICAL CENTER JACKSONVILLE,412
DUVAL,100088,Available,BAPTIST MEDICAL CENTER JACKSONVILLE,44
DUVAL,100088,Available Capacity,BAPTIST MEDICAL CENTER JACKSONVILLE,0.096491228
DUVAL,100088,Total Staffed Bed Capacity,BAPTIST MEDICAL CENTER JACKSONVILLE,456
DUVAL,100117,Bed Census,BAPTIST MEDICAL CENTER - BEACHES,117
DUVAL,100117,Available,BAPTIST MEDICAL CENTER - BEACHES,33
DUVAL,100117,Available Capacity,BAPTIST MEDICAL CENTER - BEACHES,0.22
DUVAL,100117,Total Staffed Bed Capacity,BAPTIST MEDICAL CENTER - BEACHES,150
DUVAL,100151,Bed Census,MAYO CLINIC,305
DUVAL,100151,Available,MAYO CLINIC,10
DUVAL,100151,Available Capacity,MAYO CLINIC,0.031746032
DUVAL,100151,Total Staffed Bed Capacity,MAYO CLINIC,315
DUVAL,100179,Bed Census,MEMORIAL HOSPITAL JACKSONVILLE,342
DUVAL,100179,Available,MEMORIAL HOSPITAL JACKSONVILLE,157
DUVAL,100179,Available Capacity,MEMORIAL HOSPITAL JACKSONVILLE,0.314629259
DUVAL,100179,Total Staffed Bed Capacity,MEMORIAL HOSPITAL JACKSONVILLE,499
DUVAL,100184,Bed Census,BROOKS REHABILITATION HOSPITAL,139
DUVAL,100184,Available,BROOKS REHABILITATION HOSPITAL,4
DUVAL,100184,Available Capacity,BROOKS REHABILITATION HOSPITAL,0.027972028
DUVAL,100184,Total Staffed Bed Capacity,BROOKS REHABILITATION HOSPITAL,143
DUVAL,100196,Bed Census,CURAHEALTH JACKSONVILLE LLC,14
DUVAL,100196,Available,CURAHEALTH JACKSONVILLE LLC,8
DUVAL,100196,Available Capacity,CURAHEALTH JACKSONVILLE LLC,0.363636364
DUVAL,100196,Total Staffed Bed Capacity,CURAHEALTH JACKSONVILLE LLC,22
DUVAL,104016,Bed Census,RIVER POINT BEHAVIORAL HEALTH,67
DUVAL,104016,Available,RIVER POINT BEHAVIORAL HEALTH,17
DUVAL,104016,Available Capacity,RIVER POINT BEHAVIORAL HEALTH,0.202380952
DUVAL,104016,Total Staffed Bed Capacity,RIVER POINT BEHAVIORAL HEALTH,84
DUVAL,23960052,Bed Census,BAPTIST MEDICAL CENTER SOUTH,259
DUVAL,23960052,Available,BAPTIST MEDICAL CENTER SOUTH,42
DUVAL,23960052,Available Capacity,BAPTIST MEDICAL CENTER SOUTH,0.139534884
DUVAL,23960052,Total Staffed Bed Capacity,BAPTIST MEDICAL CENTER SOUTH,301
DUVAL,23960061,Bed Census,WEKIVA SPRINGS,78
DUVAL,23960061,Available,WEKIVA SPRINGS,59
DUVAL,23960061,Available Capacity,WEKIVA SPRINGS,0.430656934
DUVAL,23960061,Total Staffed Bed Capacity,WEKIVA SPRINGS,137
DUVAL,23960088,Bed Census,ASCENSION ST VINCENT'S SOUTHSIDE,129
DUVAL,23960088,Available,ASCENSION ST VINCENT'S SOUTHSIDE,108
DUVAL,23960088,Available Capacity,ASCENSION ST VINCENT'S SOUTHSIDE,0.455696203
DUVAL,23960088,Total Staffed Bed Capacity,ASCENSION ST VINCENT'S SOUTHSIDE,237
DUVAL,23960123,Bed Census,UF HEALTH NORTH,80
DUVAL,23960123,Available,UF HEALTH NORTH,12
DUVAL,23960123,Available Capacity,UF HEALTH NORTH,0.130434783
DUVAL,23960123,Total Staffed Bed Capacity,UF HEALTH NORTH,92
DUVAL,23960157,Bed Census,WOLFSON CHILDREN'S HOSPITAL,182
DUVAL,23960157,Available,WOLFSON CHILDREN'S HOSPITAL,16
DUVAL,23960157,Available Capacity,WOLFSON CHILDREN'S HOSPITAL,0.080808081
DUVAL,23960157,Total Staffed Bed Capacity,WOLFSON CHILDREN'S HOSPITAL,198
ESCAMBIA,100025,Bed Census,ASCENSION SACRED HEART PENSACOLA,380
ESCAMBIA,100025,Available,ASCENSION SACRED HEART PENSACOLA,162
ESCAMBIA,100025,Available Capacity,ASCENSION SACRED HEART PENSACOLA,0.298892989
ESCAMBIA,100025,Total Staffed Bed Capacity,ASCENSION SACRED HEART PENSACOLA,542
ESCAMBIA,100093,Bed Census,BAPTIST HOSPITAL,318
ESCAMBIA,100093,Available,BAPTIST HOSPITAL,108
ESCAMBIA,100093,Available Capacity,BAPTIST HOSPITAL,0.253521127
ESCAMBIA,100093,Total Staffed Bed Capacity,BAPTIST HOSPITAL,426
ESCAMBIA,100231,Bed Census,WEST FLORIDA HOSPITAL,326
